Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
69.1,4/21/2026 10:50:49 AM,7393,109.9,0.1462,119.1,0.3805,0.5245,1.526,0,0,0,100,16.28,0.2532,404.1,200,1,0,0.3104,1,1,1,1,1,1,1,4,4,-1,[ OK ]
69.7,4/21/2026 10:50:50 AM,7393,109.9,0.1461,120,0.3842,0.524,1.53,0,0,0,100,16.28,0.2539,404.3,200,1,0,0.3357,1,1,1,1,1,1,1,4,4,-1,[ OK ]
70.1,4/21/2026 10:50:50 AM,7394,109.9,0.1464,118.9,0.3822,0.5242,1.528,0,0,0,100,16.28,0.2553,404.1,200,1,0,0.3484,1,1,1,1,1,1,1,4,4,-1,[ OK ]
70.7,4/21/2026 10:50:51 AM,7394,109.9,0.1462,120,0.3838,0.5244,1.526,0,0,0,100,16.28,0.251,403.9,200,1,0,0.3593,1,1,1,1,1,1,1,4,4,-1,[ OK ]
71.3,4/21/2026 10:50:52 AM,7395,109.9,0.1464,119.5,0.383,0.5235,1.535,0,0,0,100,16.28,0.2523,404.2,200,1,0,0.335,1,1,1,1,1,1,1,4,4,-1,[ OK ]
71.9,4/21/2026 10:50:52 AM,7396,109.9,0.1464,119.6,0.378,0.5239,1.531,0,0,0,100,16.28,0.2501,404.5,200,1,0,0.3384,1,1,1,1,1,1,1,4,4,-1,[ OK ]
72.6,4/21/2026 10:50:53 AM,7396,109.9,0.1465,119.7,0.3797,0.524,1.53,0,0,0,100,16.28,0.2525,404.6,200,1,0,0.3556,1,1,1,1,1,1,1,4,4,-1,[ OK ]
73.2,4/21/2026 10:50:53 AM,7397,109.9,0.1464,120.1,0.3797,0.5246,1.523,0,0,0,100,16.28,0.2542,404,200,1,0,0.3512,1,1,1,1,1,1,1,4,4,-1,[ OK ]
73.8,4/21/2026 10:50:54 AM,7397,109.9,0.1464,120.2,0.3768,0.524,1.53,0,0,0,100,16.28,0.2521,404.2,200,1,0,0.3377,1,1,1,1,1,1,1,4,4,-1,[ OK ]
74.4,4/21/2026 10:50:55 AM,7398,109.9,0.1467,119.6,0.3846,0.5239,1.532,0,0,0,100,16.28,0.2508,404.3,200,1,0,0.3412,1,1,1,1,1,1,1,4,4,-1,[ OK ]
75.0,4/21/2026 10:50:55 AM,7399,109.9,0.1466,119.9,0.379,0.5243,1.528,0,0,0,100,16.28,0.252,404.1,200,1,0,0.3568,1,1,1,1,1,1,1,4,4,-1,[ OK ]
75.7,4/21/2026 10:50:56 AM,7399,109.9,0.1468,119.2,0.3787,0.5243,1.527,0,0,0,100,16.28,0.2502,403.9,200,1,0,0.3484,1,1,1,1,1,1,1,4,4,-1,[ OK ]
76.4,4/21/2026 10:50:57 AM,7400,109.9,0.1467,119.9,0.3823,0.5239,1.531,0,0,0,100,16.28,0.2532,404.2,200,1,0,0.3202,1,1,1,1,1,1,1,4,4,-1,[ OK ]
77.3,4/21/2026 10:50:58 AM,7401,109.9,0.1467,119.7,0.3786,0.5235,1.535,0,0,0,100,16.28,0.2504,404.2,200,1,0,0.3348,1,1,1,1,1,1,1,4,4,-1,[ OK ]
78.1,4/21/2026 10:50:58 AM,7402,109.9,0.1466,120,0.3789,0.5242,1.528,0,0,0,100,16.28,0.25,404,200,1,0,0.3412,1,1,1,1,1,1,1,4,4,-1,[ OK ]
78.9,4/21/2026 10:50:59 AM,7403,109.9,0.1467,119.7,0.3736,0.5235,1.535,0,0,0,100,16.28,0.2523,404.3,200,1,0,0.3316,1,1,1,1,1,1,1,4,4,-1,[ OK ]
79.7,4/21/2026 10:51:00 AM,7403,109.9,0.1467,119.8,0.3773,0.5238,1.532,0,0,0,100,16.28,0.2498,404,200,1,0,0.3411,1,1,1,1,1,1,1,4,4,-1,[ OK ]
